user_id,name,timestamp,major_selected,colleges_researched,session_id,college_researched
127.0.0.1,Bob,2024-12-10 01:34:25,Political Science,guttman,,
127.0.0.1,Bob,2024-12-10 01:44:15,Nursing,guttman,,
127.0.0.1,Bob,2024-12-10 01:48:40,Public Policy,guttman,,
127.0.0.1,Bob,2024-12-10 01:58:53,Music Education,guttman,,
127.0.0.1,Bob,2024-12-10 01:59:12,Mechanical Engineering,guttman,,
127.0.0.1,Jon,2024-12-10 02:09:40,Electrical Engineering,guttman,,
127.0.0.1,Bob,2024-12-10 18:09:39,English,guttman,,
127.0.0.1,Bob,2024-12-10 18:10:56,Criminal Justice,guttman,,
127.0.0.1,Jon,2024-12-10 18:29:42,Computer Science,guttman,,
127.0.0.1,Sam,2024-12-10 18:53:30,Political Science,,20241210185306.0,
127.0.0.1,kate,2024-12-10 19:06:05,Fine Arts,,20241210190547.0,
127.0.0.1,Luke,2024-12-10 19:12:09,International Relations,,20241210191136.0,
127.0.0.1,Tim,2024-12-10 19:26:58,Early Childhood Education,,20241210192643,
8a0942a2-c12b-4964-ab5e-1aaa602f2390,Bob,2024-12-11 01:15:45,,
0df661fe-b62f-479a-bfc4-fe2f68483cf7,Explore Careers and Majors,2024-12-11 01:15:47,,
5a067c7f-b4df-4f6f-a006-4db912895d12,Explore Careers and Majors,2024-12-11 01:15:50,,
6bf3a9c9-5ac8-4b10-9636-b2ff3bb4496a,Yuriy,2024-12-11 01:18:14,,
8b7f3ef9-25b5-4105-8cb3-6f9986617d6c,Explore Careers and Majors,2024-12-11 01:18:15,,
1b7df98a-f0ad-4929-8c48-b1e11d53fbd5,Explore Careers and Majors,2024-12-11 01:18:19,,
837747d2-9c89-4408-9de8-650e576fbd68,Research Colleges,2024-12-11 01:18:21,,
5e4e87ac-bb79-4ff8-9b2b-d1a649af4ed0,Get application advice,2024-12-11 01:18:23,,
9850ffe0-2657-4637-a7ee-7415637accf1,Explore Careers and Majors,2024-12-10 23:55:04,MAIN_MENU,,
9850ffe0-2657-4637-a7ee-7415637accf1,Research Colleges,2024-12-10 23:55:06,MAIN_MENU,,
9850ffe0-2657-4637-a7ee-7415637accf1,Get Application Advice,2024-12-10 23:55:07,MAIN_MENU,,
9850ffe0-2657-4637-a7ee-7415637accf1,Tom,2024-12-11 00:02:02,MAIN_MENU,,
9850ffe0-2657-4637-a7ee-7415637accf1,Explore Careers and Majors,2024-12-11 00:02:04,MAIN_MENU,,
9850ffe0-2657-4637-a7ee-7415637accf1,Research Colleges,2024-12-11 00:02:07,MAIN_MENU,,
9850ffe0-2657-4637-a7ee-7415637accf1,Get Application Advice,2024-12-11 00:02:08,MAIN_MENU,,
9850ffe0-2657-4637-a7ee-7415637accf1,lox,2024-12-11 00:02:29,MAIN_MENU,,
9850ffe0-2657-4637-a7ee-7415637accf1,Explore Careers and Majors,2024-12-11 00:02:31,MAIN_MENU,,
9850ffe0-2657-4637-a7ee-7415637accf1,Research Colleges,2024-12-11 00:02:32,MAIN_MENU,,
9850ffe0-2657-4637-a7ee-7415637accf1,Get Application Advice,2024-12-11 00:02:34,MAIN_MENU,,
9850ffe0-2657-4637-a7ee-7415637accf1,pit,2024-12-11 00:09:39,MAIN_MENU,,
9850ffe0-2657-4637-a7ee-7415637accf1,Explore Careers and Majors,2024-12-11 00:09:41,MAIN_MENU,,
9850ffe0-2657-4637-a7ee-7415637accf1,Research Colleges,2024-12-11 00:09:43,MAIN_MENU,,
9850ffe0-2657-4637-a7ee-7415637accf1,Get Application Advice,2024-12-11 00:09:44,MAIN_MENU,,
9850ffe0-2657-4637-a7ee-7415637accf1,lol,2024-12-11 00:18:12,MAIN_MENU,,
9850ffe0-2657-4637-a7ee-7415637accf1,Explore Careers and Majors,2024-12-11 00:18:15,MAIN_MENU,,
9850ffe0-2657-4637-a7ee-7415637accf1,Research Colleges,2024-12-11 00:18:17,MAIN_MENU,,
9850ffe0-2657-4637-a7ee-7415637accf1,Get Application Advice,2024-12-11 00:18:18,MAIN_MENU,,
9850ffe0-2657-4637-a7ee-7415637accf1,bob,2024-12-11 00:26:06,MAIN_MENU,,
9850ffe0-2657-4637-a7ee-7415637accf1,Explore Careers and Majors,2024-12-11 00:26:08,MAIN_MENU,,
9850ffe0-2657-4637-a7ee-7415637accf1,hoh,2024-12-11 00:32:35,MAIN_MENU,,
9850ffe0-2657-4637-a7ee-7415637accf1,Explore Careers and Majors,2024-12-11 00:32:37,MAIN_MENU,,
9850ffe0-2657-4637-a7ee-7415637accf1,Research Colleges,2024-12-11 00:32:39,MAIN_MENU,,
9850ffe0-2657-4637-a7ee-7415637accf1,Explore Careers and Majors,2024-12-11 00:32:43,MAIN_MENU,,
9850ffe0-2657-4637-a7ee-7415637accf1,zhopa,2024-12-11 00:46:31,MAIN_MENU,,
9850ffe0-2657-4637-a7ee-7415637accf1,Explore Careers and Majors,2024-12-11 00:46:32,MAIN_MENU,,
9850ffe0-2657-4637-a7ee-7415637accf1,Research Colleges,2024-12-11 00:46:36,MAIN_MENU,,
9850ffe0-2657-4637-a7ee-7415637accf1,Get Application Advice,2024-12-11 00:46:38,MAIN_MENU,,
